,feature,feature_importances
2,total_value,0.19833586791520602
0,total_bldg,0.17123169942055266
1,total_units,0.1527077752576972
3,total_bldg_avg_3yr,0.12465098703225529
6,total_bldg_avg_5yr,0.08712908729120585
8,total_value_avg_5yr,0.05185078713863412
7,total_units_avg_5yr,0.05106112735512155
5,total_value_avg_3yr,0.04188220975564784
11,total_value_pct_change_1yr,0.03847530186665577
4,total_units_avg_3yr,0.027784160282641954
17,total_value_pct_change_5yr,0.025763843561784742
14,total_value_pct_change_3yr,0.019791563425182096
15,total_bldg_pct_change_5yr,0.003399647955529927
13,total_units_pct_change_3yr,0.0033181090083001952
16,total_units_pct_change_5yr,0.0026178327335847993
19,div_enc,0.0
18,div_sa,0.0
10,total_units_pct_change_1yr,0.0
12,total_bldg_pct_change_3yr,0.0
9,total_bldg_pct_change_1yr,0.0
20,urban,0.0
