,pct_renter_occupied,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,renter_occupied_households,median_household_income,median_property_value,label_value,score
750,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.4221223169719325
756,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.02667928146355297
762,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,1,0.04116250339275304
769,med-low,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.13744045272365712
778,med-high,med-high,low,med-low,low,low,low,low,low,low,med-low,low,0,0.01752701130017763
795,med-high,med-high,low,med-low,low,low,low,low,low,med-low,low,low,0,0.1543195284168289
801,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.01266877899379111
809,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.2685480907980908
815,high,low,med-low,low,low,low,low,low,low,low,low,low,0,0.1415178603805669
823,med-low,med-high,low,low,low,low,low,low,low,low,low,low,1,0.36356262773174547
832,high,med-low,med-low,low,med-low,med-low,low,low,low,low,low,low,0,0.4022119050896432
839,high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,0,0.7220748626373628
849,high,med-low,low,low,low,med-low,low,low,low,med-low,low,low,0,0.274862050872103
855,med-low,med-high,low,low,low,low,low,low,low,low,low,low,1,0.4602018383577207
864,high,med-high,med-low,low,low,low,low,low,low,low,low,low,0,0.3008330522103368
872,high,med-low,low,low,low,low,low,low,low,med-low,low,low,1,0.3109614413364413
891,low,high,low,low,low,low,low,low,low,low,low,low,1,0.48834170098971413
897,med-high,med-high,low,low,low,low,low,low,low,low,low,low,1,0.09516977543818428
904,high,med-high,med-low,low,low,low,low,low,low,low,low,low,0,0.07587230595634555
914,med-high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.5453124133131173
921,med-high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.3798489836525649
930,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.24136173709348768
944,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.01033180098717435
951,med-low,high,low,low,low,low,low,low,low,low,low,med-low,0,0.016541807713178352
959,med-low,med-high,low,low,low,low,low,low,low,low,low,med-low,0,0.002207407453444434
978,high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014283436111776928
986,med-high,med-low,med-low,low,low,low,low,low,low,low,med-low,low,0,0.03546566610592309
995,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.020234998409427534
1005,med-high,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.00014844409599076372
1012,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.007605016033857326
1021,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.02819058803193375
1033,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.17394282261580876
1042,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.022982212593606333
1059,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.10777987655497653
1075,med-high,med-high,med-low,low,low,low,low,low,low,med-low,low,low,1,0.6263600766764443
1084,med-high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,1,0.828730808470737
1090,med-high,med-low,low,low,low,low,low,low,low,low,low,low,0,0.08155124790393409
1107,high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,0,0.579142295171707
1115,med-high,med-low,low,low,low,low,low,low,low,low,low,low,0,0.20025280603334142
1124,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.06680330354451124
1131,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.11570817910640933
1138,low,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.13780722452151023
1147,med-low,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.04875886876052031
1156,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.08421407987640663
1163,high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.7958558874364617
1173,med-high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,0,0.11456147310360924
1181,high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.257352716490521
1187,high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.3436641414141414
1196,high,med-low,med-low,low,low,low,low,med-low,low,low,low,low,0,0.12017584242102407
1212,med-high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.8356023901626253
1222,med-high,med-high,med-low,low,low,low,low,low,low,med-low,low,low,0,0.4288300617081577
1231,high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,1,0.6039873755308637
1251,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.02729283908701482
1261,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014682245731707434
1275,high,high,low,low,low,low,low,low,low,med-low,low,low,1,0.2684909746432907
1282,high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.19855877669395952
1289,high,med-low,low,low,low,low,low,med-low,low,med-low,low,low,0,0.43934907333953466
1298,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.3244030960869197
1312,med-high,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.011682576340619184
1321,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.0017630231911722593
1329,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.01869485242075238
1339,med-high,med-high,low,low,low,med-low,low,low,low,low,low,low,0,0.05299374691221623
1348,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.0180004714305036
1355,med-high,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.08761426185968638
1363,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.10199557467229614
1374,med-high,med-high,low,low,low,med-low,low,low,low,med-low,low,low,0,0.46583243613971176
1383,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.0938817512801675
1390,high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.4150767529493021
1399,low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.011428571428571429
1419,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.0018175455130026528
1424,high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.010323246414070406
1431,low,med-high,low,med-low,low,low,low,low,low,low,low,low,0,3.421093507300404e-05
1439,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.0050579859498609825
1448,med-low,med-high,low,low,low,low,low,low,low,low,low,med-low,0,0.002501439993981022
1464,med-high,med-low,low,med-low,low,low,low,low,low,low,med-low,low,0,0.006671170826705756
1472,med-high,med-low,low,low,low,med-low,low,med-low,low,low,low,low,0,0.029847235752179357
1478,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.016906302263902842
1488,high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.005234679287980133
1497,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.0003599225510075422
1505,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,6.014387524021187e-05
1513,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.0003069841640331785
1530,med-low,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.010291893508167125
