,pct_renter_occupied,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,renter_occupied_households,median_household_income,median_property_value,label_value,score
11095,low,med-low,low,med-high,low,low,low,low,low,low,med-low,low,0,0.01
11103,low,high,low,low,low,low,low,low,low,low,low,low,0,0.010007183908045978
11110,low,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.01
11119,med-low,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.018470906886435184
11128,low,low,low,high,low,low,low,low,low,low,low,low,0,0.011693693693693694
11135,low,med-high,low,med-low,low,low,low,low,low,low,med-low,low,0,4.5921011233875595e-05
11154,low,med-high,low,med-low,low,low,low,low,low,low,med-low,low,0,0.01
11164,low,med-high,low,med-low,low,low,low,low,low,low,med-low,low,0,0.01
11175,med-low,low,low,med-high,low,low,low,low,low,low,low,low,0,0.05239271166069728
11184,low,low,low,high,low,low,low,low,low,low,low,low,0,0.04269090902669172
11190,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.0448296956979388
11199,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.051043478396266814
11208,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.06141782775661636
11215,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.054785690523528274
11224,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.02499284932681995
11237,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.01146229762059834
11246,med-high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.029720264332674523
11262,med-low,low,low,med-high,low,low,low,low,low,low,low,low,0,0.12407735174518059
11271,med-low,low,low,med-high,low,low,low,low,low,low,low,low,0,0.027172347008187412
11280,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.41582343336354816
11288,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.12191097600801197
11294,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.013765664776743852
11304,high,low,low,high,low,low,low,low,low,low,low,low,0,0.04099153259822518
11312,med-low,low,low,med-high,low,low,low,low,low,low,low,low,0,0.06193520585823967
11321,med-low,low,low,med-low,low,med-low,low,low,low,low,low,low,0,0.06864912894479647
11329,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.23346251729835493
11339,med-high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.02296336644439288
11349,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.27163122438516757
11359,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.05508739215763802
11365,low,low,low,med-high,low,low,low,low,low,low,low,low,0,0.076740014932438
11375,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.04585277229934593
11383,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.18921644553339564
11392,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.03683822400358925
11402,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.06442214097185263
11411,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.08769254644127257
11420,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.05214267747011797
11427,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.02053210136594116
11433,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.20411898360539996
11443,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.1073781702035096
11452,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.18557230735802183
11460,med-low,low,low,med-low,low,med-low,low,low,low,low,low,low,0,0.12229371954135408
11468,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.11460751224601123
11478,med-low,low,low,med-high,low,low,low,low,low,low,low,low,0,0.05706340538124749
11487,med-low,low,low,med-high,low,low,low,low,low,low,low,low,1,0.05011444013638892
11494,med-high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.05779732400791127
11502,med-high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.030630088937335275
11525,med-high,low,low,low,low,med-high,low,low,low,low,low,low,0,0.06233109585192808
11532,med-high,low,low,med-low,med-low,med-low,low,low,low,low,low,low,0,0.09538652778322174
11549,med-low,low,low,med-low,low,med-low,low,low,low,low,low,low,0,0.053802877643205765
11557,med-high,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.15324674745716804
11566,high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.05058337188067833
11575,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.08199756729565762
11585,med-high,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.03458195698584443
11592,med-low,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.028144943908954098
11598,high,low,low,high,low,low,low,low,low,low,low,low,0,0.3349923680962816
11607,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.6192568656591044
11614,med-high,low,low,med-high,low,low,low,low,low,low,low,low,1,0.5236817057988914
11629,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.1327459083610243
11639,med-high,low,med-low,med-low,low,low,low,low,low,low,low,low,0,0.47837759924321793
11646,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.17573688936519294
11660,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.19502221484299415
11669,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.18416442358535665
11678,high,low,med-low,med-high,low,low,low,low,low,low,low,low,1,0.5022708957708958
11684,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.12284876835990452
11691,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.2996122148996633
11697,high,low,low,high,low,low,low,low,low,low,low,low,0,0.2144710269723865
11717,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.2668514406478678
11723,high,low,low,high,low,low,low,low,low,low,low,low,0,0.08222094995741847
11732,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.23550653903113805
11740,med-low,low,low,med-high,low,low,low,low,low,low,low,low,0,0.11670872898850176
11748,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.05433459790090362
11757,med-low,low,med-low,med-high,low,low,low,low,low,low,low,low,0,0.18681697142100387
11771,high,low,med-high,med-low,low,low,low,low,low,low,low,low,0,0.4349785069598298
11779,med-high,low,med-low,med-high,low,low,low,low,low,low,low,low,1,0.8205276693797983
11792,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.6873641105833902
11799,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.4053180797960209
11806,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.0968983279972317
11813,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.2663571936760187
11823,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.5121313107715547
11830,low,low,low,high,low,low,low,low,low,low,low,low,0,0.027446524749935884
11843,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.0134201690201698
11852,med-low,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.015068661468853406
11865,low,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.00714307502400992
11871,med-low,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.028280585048131232
11892,low,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.01425612015103164
11901,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.03603873844664268
11908,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.04280997988359177
11926,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.011839244199579562
11935,low,low,low,high,low,low,low,low,low,low,low,low,0,0.017846492520462026
11943,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.07756010224703579
11951,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.07227184449214093
11972,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.09663831340859058
11987,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.10069230295163725
11994,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.3137403754813222
12002,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.24699592596313363
12019,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.09535983491226072
12033,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.1726565318811898
12044,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.13956132978475502
12051,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.13189270881326323
12060,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.31075606278042456
12069,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.11432158823650722
12078,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.04629638259148254
12083,low,low,low,high,low,low,low,low,low,low,low,low,0,0.07051469370919251
12091,med-low,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.04762382172698075
12107,med-low,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.07629685910540682
12113,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.010909090909090908
12132,low,med-low,low,med-high,low,low,low,low,low,low,med-low,low,0,0.023711309518262006
12138,low,med-low,low,med-high,low,low,low,low,low,low,med-low,low,0,0.01747960372960373
12146,low,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.025785041402817586
12151,low,med-high,low,med-low,low,low,low,low,low,low,med-low,low,0,0.01923599168863497
12157,low,med-high,low,med-low,low,low,low,low,low,low,med-low,low,0,0.050920440146137835
12166,med-low,med-low,low,med-low,low,low,low,low,low,low,med-low,low,0,0.016673438436041445
12173,high,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.08416989481857488
12183,med-low,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.10291124646974836
12190,med-high,med-high,low,med-low,low,low,low,low,low,low,low,low,1,0.17285965902380585
12196,low,low,low,high,low,low,low,low,low,low,med-low,low,0,0.01
12203,low,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.005068613900795147
12212,low,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.039888138138138136
12222,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.023662695742391993
12228,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.010677366897873216
12236,low,low,low,med-high,low,low,low,low,low,low,low,low,0,0.0138991438118251
12243,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.06124658390795717
12259,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.05280980696448233
12267,low,low,low,high,low,low,low,low,low,low,low,low,0,0.026936258770864883
12272,med-low,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.029372806014856288
12280,med-low,low,low,med-high,low,low,low,low,low,low,low,low,0,0.11125082019999478
12310,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.025740897330676415
12319,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.012099969445990231
12328,low,low,low,high,low,low,low,low,low,low,med-low,low,0,0.020368090744033972
12334,low,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.011796054702216794
12337,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.15980473958292615
12344,low,low,low,high,low,low,low,low,low,low,low,low,0,0.01410862993915466
12351,low,low,low,high,low,low,low,low,low,low,low,low,0,0.016666666666666666
12359,low,low,low,med-high,low,low,low,low,low,low,low,low,0,0.009403156025198572
12367,low,low,low,high,low,low,low,low,low,low,low,low,0,0.1198291449395022
12372,low,low,low,high,low,low,low,low,low,low,med-low,low,0,0.03203323510137448
12377,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.01185761298182867
12381,low,low,low,high,low,low,low,low,low,low,low,low,0,0.044136613386613385
12389,low,low,low,high,low,low,low,low,low,low,low,low,0,0.04464927939289415
12397,med-low,med-low,low,med-high,low,low,low,low,low,low,low,low,1,0.635518204018204
12407,high,low,med-low,med-high,low,low,low,low,low,low,low,low,1,0.9054376896604933
12416,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.17515703587279746
12426,med-high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.57177554361248
12444,med-high,low,med-low,med-high,low,low,low,low,low,low,low,low,1,0.5117134041014947
12458,med-high,low,low,high,low,low,low,low,low,low,low,low,1,0.35361230436230434
12464,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.05402410838076136
12472,low,low,low,high,low,low,low,low,low,low,low,low,0,0.07045741131329163
12481,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.058801844109359604
12496,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.026275715564337557
12505,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.03191251092455945
12510,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.7668176220759271
12519,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.8176798810945152
12525,med-high,low,med-high,med-low,low,low,low,low,low,low,low,low,1,0.9550767158524388
12534,med-high,low,med-low,med-high,low,low,low,low,low,low,low,low,1,0.754959635158489
12542,med-high,low,med-high,med-low,low,low,low,low,low,low,low,low,1,0.9483756014965042
12550,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.13321672045557562
12559,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.44346695379783624
12566,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.42206665517051484
12573,med-high,low,med-high,med-low,low,low,low,low,low,low,low,low,1,0.3771963823755417
12582,med-high,low,med-low,med-high,low,low,low,low,low,low,low,low,1,0.6789678018707889
12592,med-high,low,med-low,med-high,low,low,low,low,low,low,low,low,1,0.15551100093208992
12602,med-high,low,med-low,med-high,low,low,low,low,low,low,low,low,1,0.8595904921477547
12607,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9529059773062393
12616,high,low,high,low,low,low,low,low,low,low,low,low,1,0.8447498880841257
12633,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.31090978866089103
12641,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.1343463070758515
12657,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.41539919296082073
12667,med-high,low,med-high,med-low,low,low,low,low,low,low,low,low,0,0.11771223147705263
12672,low,low,med-high,low,low,low,low,low,low,low,low,low,0,0.009678035361117457
12694,low,low,low,high,low,low,low,low,low,low,low,low,0,0.011493386040953513
12701,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.2887333131605467
12708,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.29156202173991963
12716,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.8358282779168923
12730,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.4612440659027406
12748,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.36992091355745316
12765,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.15529130330527685
12772,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.20578163480938802
12777,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.33373269826578655
12785,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.23602685678393365
12795,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.6173015619340493
12810,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.02835165812632654
12821,high,low,high,low,low,low,low,low,low,low,low,low,0,0.25154964751648656
12832,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.280574777999778
12840,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.5126453803051452
12847,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.08188122300749835
12863,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.259200903795772
12876,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.2126117286152506
12885,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.2576002562714597
12890,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.33471718485455143
12900,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.48329634013468703
12916,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.06678669825299778
12926,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.1812393137570834
12934,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.22372394101896856
12941,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.20061293896123542
12948,low,low,high,low,low,low,low,low,low,low,low,low,0,0.024649509239407102
12958,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.04143152406549394
12968,low,low,high,low,low,low,low,low,low,low,low,low,0,0.0039011941728829646
12977,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.12169951768729977
12986,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.5987607536194492
12994,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.19080005781733927
13001,high,low,high,low,low,low,low,low,low,low,low,low,1,0.6164394371161473
13010,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9772458400931491
13017,high,low,high,low,med-low,low,low,low,low,low,low,low,0,0.5072730927543497
13050,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.3134847378623778
13059,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.07561040294689753
13068,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.8960705191237014
13083,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5609990674104197
13090,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7904018702459706
13100,high,low,high,low,low,low,low,low,low,low,low,low,0,0.6384874772059246
13127,high,low,high,low,low,low,low,low,low,low,low,low,1,0.48074311549489496
13142,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.17800428115918476
13149,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.8024179325062559
13158,med-high,low,high,low,med-low,low,low,low,low,low,low,low,1,0.7152809377717841
13183,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.1704167131240786
13191,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.3229557762498939
13199,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.2515990098762314
13207,high,low,high,low,low,low,low,low,low,low,low,low,1,0.6313275268653208
13217,high,low,high,low,low,low,low,low,low,low,low,low,1,0.762512144911814
13226,high,low,high,low,low,low,low,low,low,low,low,low,0,0.6845931287167698
13234,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9786631214800924
13242,high,low,high,low,low,low,low,low,low,low,low,low,1,0.958705985089766
13259,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.7471875758934583
13269,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.5288483377206091
13277,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.25502175051961395
13286,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7509031444920526
13293,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.8675802893140958
13301,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9409933047261627
13308,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.8185028557909466
13323,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.18353212111518452
13334,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.5220049106176154
13340,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.14112634542065147
13350,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.31938732127807296
13357,high,low,high,low,low,low,low,low,low,low,low,low,1,0.809510229630927
13364,high,low,high,low,low,low,low,low,low,low,low,low,0,0.6390245923562957
13371,high,low,high,low,med-high,low,low,low,low,low,low,low,1,0.9679955210612279
13380,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.45698246479259125
13389,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7088402570087016
13397,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.6730368505428285
13406,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.45205747562630316
13412,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.18683257871087125
13420,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.3928294855163708
13430,low,low,high,low,low,low,low,low,low,low,low,low,0,0.13752302315989343
13436,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.2952232015452329
13444,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.45644141910099356
13453,high,low,high,low,low,low,low,low,low,low,low,low,1,0.44202881397059196
13460,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.495683970397711
13479,med-low,low,med-high,med-low,low,low,low,low,low,low,low,low,0,0.15918075348054717
13503,low,low,low,high,low,low,low,low,low,low,med-low,low,0,0.02243798866910478
13510,low,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.07145669667149884
13517,low,low,med-low,med-high,low,low,low,low,low,low,low,low,0,0.05132013784903545
13523,low,med-low,low,med-high,low,low,low,low,low,low,med-low,low,0,0.02024527914614121
13532,low,low,low,high,low,low,low,low,low,low,low,low,0,0.07599969474969474
13545,low,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.0016831012685146788
13550,low,low,med-low,med-high,low,low,low,low,low,low,low,low,0,0.008898139582690924
13577,low,low,med-low,med-low,low,low,low,low,low,low,med-low,low,0,0.0019248296547574638
13585,low,low,high,low,low,low,low,low,low,low,med-low,low,0,5.282038242720567e-05
13591,med-low,low,med-low,med-low,low,low,low,low,low,low,low,low,0,0.022226039038277755
13594,low,low,med-high,low,low,low,low,low,low,low,med-low,low,0,0.020333208144728023
13601,low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.010046944941769156
13607,low,low,high,low,low,low,low,low,low,low,low,low,0,0.05372095442224711
13616,low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.055766202112039885
13624,low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.01842836361335781
13633,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.16443424469229564
13643,low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.001689828192026531
13649,low,low,med-high,low,low,low,low,med-low,low,low,med-low,low,0,0.015017286084701814
13658,low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.011475516370340586
13668,low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.09409870421352082
13676,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7340920376681745
13682,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9170987251434549
13693,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9757815199991201
13706,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.7555029137529137
13721,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9512174112392188
13728,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.2980601684316106
13737,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7940194865339675
13747,med-high,low,high,low,med-low,low,low,low,low,low,low,low,0,0.6486823704352399
13753,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.10931785625100486
13762,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.15571341099798544
13769,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.09078090536755137
13777,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9933332470340102
13784,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9835815292821926
13791,med-high,low,med-high,low,low,low,low,med-high,low,low,low,low,1,0.2705672434645916
13799,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.1346731437754165
13803,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.8373356819153596
13810,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9004321924726304
13816,high,low,high,low,low,low,low,low,low,low,low,low,1,0.6578873244406016
13822,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.4982742505725987
13827,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9598530233189533
13836,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.6818153294429027
13845,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.07095539681389798
13854,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.06519478549313536
13862,med-low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.0752729907001879
13871,high,low,high,low,low,low,low,low,low,low,low,low,1,0.8913391966743894
13901,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.7487888690441815
13911,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9539435767894563
13920,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.10840105754682548
13926,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.16039127614069693
13934,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.12867358037999646
13944,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.08705527579639964
13953,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.735633082737553
13959,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.17870668754593272
13967,low,low,high,low,low,low,low,low,low,low,low,low,0,0.011269717999189067
13976,low,low,high,low,low,low,low,low,low,low,low,low,0,0.040311657160197446
13993,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.03810606947083013
13999,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.08463148007489178
14016,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.1051744250919149
14027,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.029114266947705206
14043,low,med-low,med-low,low,low,low,low,low,low,low,med-high,low,0,0.010057574963672886
14057,low,med-low,med-low,low,low,low,low,low,low,low,med-low,low,0,0.010057574963672886
14064,med-low,med-low,med-high,low,low,low,low,low,low,low,low,low,0,0.04936174485033577
14073,low,med-low,med-high,low,low,low,low,low,low,low,low,low,0,0.017659186368119754
14093,low,med-low,med-high,low,low,low,low,low,low,low,med-low,low,0,0.04937050013374091
14106,low,med-low,med-high,low,low,low,low,low,low,low,med-low,low,0,0.012057574963672886
14115,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.0014357553366174055
14122,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.0014285714285714286
14136,low,high,low,low,low,low,low,low,low,low,med-low,low,0,5.76036866359447e-06
14142,low,high,low,low,low,low,low,low,low,low,med-high,low,0,0.01637082027168234
14156,med-high,med-low,med-high,low,low,low,low,low,low,med-low,low,low,0,0.6540099596728142
14165,low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.019309928944196083
14178,low,low,high,low,low,low,low,low,low,low,low,low,0,0.00785122229901442
14184,low,low,high,low,low,low,low,low,low,low,low,low,0,0.0017874094451016417
14190,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.7762780955250291
14197,low,low,high,low,low,low,low,low,low,low,low,low,0,0.08482255211149617
14211,high,low,high,low,low,low,low,low,low,low,low,low,1,0.8618263281602779
14218,med-low,low,high,low,high,low,low,low,low,low,low,low,0,0.4868283240568956
14227,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.06363602521688021
14235,low,low,high,low,low,low,low,low,low,low,low,low,0,0.027919735289484167
14249,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.3062140539391029
14257,low,low,high,low,low,low,low,low,low,low,low,low,0,0.02022377973132361
14262,low,low,high,low,low,low,low,low,low,low,low,low,0,0.010185171817170158
14269,low,low,high,low,low,low,low,low,low,low,low,low,0,4.694494176915632e-05
14284,low,low,high,low,low,low,low,low,low,low,low,low,0,0.010670917823171519
14299,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.06222120210547115
14306,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014871660646356104
14314,low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.013173475223831489
14321,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.07091050089282047
14330,low,low,high,low,low,low,low,low,low,low,low,low,0,0.06438067974574659
14336,low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.0016168848886892852
14349,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.01
14361,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.010045921011233876
14369,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.0210443920667147
14378,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.07582667537276251
14385,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.013095238095238096
14390,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.0016872583972521128
14397,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.01
