,feature,feature_importances
5,total_value_avg_3yr,0.095466138643275
6,total_bldg_avg_5yr,0.09390220569808719
17,total_value_pct_change_5yr,0.09325018232222135
2,total_value,0.09237319456598297
0,total_bldg,0.09197217493934014
1,total_units,0.08740196606967601
11,total_value_pct_change_1yr,0.0749686295259599
3,total_bldg_avg_3yr,0.07391804966175576
14,total_value_pct_change_3yr,0.07235634429596498
7,total_units_avg_5yr,0.06799335929071927
8,total_value_avg_5yr,0.05757583838964362
4,total_units_avg_3yr,0.05661613340148352
16,total_units_pct_change_5yr,0.02864278999443147
15,total_bldg_pct_change_5yr,0.0077378360518326585
13,total_units_pct_change_3yr,0.0058251571496261735
19,div_enc,0.0
18,div_sa,0.0
10,total_units_pct_change_1yr,0.0
12,total_bldg_pct_change_3yr,0.0
9,total_bldg_pct_change_1yr,0.0
20,urban,0.0
