,feature,feature_importances
7,total_units_avg_5yr,0.11130081563045252
1,total_units,0.09302190470299829
11,total_value_pct_change_1yr,0.08916356997738772
0,total_bldg,0.08865923247174115
2,total_value,0.08025579654924626
5,total_value_avg_3yr,0.07757337592010496
14,total_value_pct_change_3yr,0.07648354649745834
8,total_value_avg_5yr,0.07253977929408409
17,total_value_pct_change_5yr,0.07232351797923796
6,total_bldg_avg_5yr,0.07155935243061493
3,total_bldg_avg_3yr,0.06097052489342323
4,total_units_avg_3yr,0.060166790558423416
16,total_units_pct_change_5yr,0.022737764598792003
15,total_bldg_pct_change_5yr,0.017266304655702377
13,total_units_pct_change_3yr,0.005977723840332787
19,div_enc,0.0
18,div_sa,0.0
10,total_units_pct_change_1yr,0.0
12,total_bldg_pct_change_3yr,0.0
9,total_bldg_pct_change_1yr,0.0
20,urban,0.0
