,feature,feature_importances
2,total_value,0.22902960900994884
1,total_units,0.14956747615031393
0,total_bldg,0.14738814533242925
3,total_bldg_avg_3yr,0.1352758639955117
7,total_units_avg_5yr,0.06398595163366808
6,total_bldg_avg_5yr,0.06092628407444923
8,total_value_avg_5yr,0.05195257044795599
4,total_units_avg_3yr,0.03963352008818094
17,total_value_pct_change_5yr,0.0307637577390015
5,total_value_avg_3yr,0.028370309081254808
11,total_value_pct_change_1yr,0.0262087911336718
14,total_value_pct_change_3yr,0.02523841406109969
15,total_bldg_pct_change_5yr,0.005118735100145339
16,total_units_pct_change_5yr,0.005027670307882092
13,total_units_pct_change_3yr,0.00151290184448691
19,div_enc,0.0
18,div_sa,0.0
10,total_units_pct_change_1yr,0.0
12,total_bldg_pct_change_3yr,0.0
9,total_bldg_pct_change_1yr,0.0
20,urban,0.0
