,pct_renter_occupied,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,renter_occupied_households,median_household_income,median_property_value,label_value,score
7018,med-high,low,med-high,med-low,low,low,low,low,low,low,low,low,0,0.32599837000814996
7027,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7035,med-low,low,med-high,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
7041,med-high,low,med-high,med-low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7049,low,low,med-low,med-high,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
7056,low,low,med-high,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
7064,low,med-high,med-low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
7073,low,med-high,med-low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
7081,low,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
7098,med-low,med-low,med-low,med-low,low,low,low,low,low,low,low,low,0,0.11822822328338548
7106,low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
7130,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
7139,high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7162,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
7169,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7177,med-high,low,med-high,med-low,low,low,low,low,low,low,low,low,1,0.11822822328338548
7186,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
7196,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7207,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
7217,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7229,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
7247,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.17674691720493246
7272,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
7281,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7287,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.3495702005730659
7297,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
7306,high,low,high,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
7324,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7331,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7351,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7358,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
7371,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.7490176817288802
7379,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
7386,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7396,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7403,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
7412,high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7422,high,low,high,low,low,low,low,low,low,low,low,low,0,0.7490176817288802
7430,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
7437,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7443,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7450,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
7457,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7463,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
7472,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7480,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7495,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.7490176817288802
7510,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7526,high,low,high,low,low,low,low,low,low,low,low,low,0,0.7490176817288802
7534,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
7544,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
7567,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
7576,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
7585,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7599,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
7616,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7622,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7627,high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7636,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.7490176817288802
7646,high,low,high,low,low,low,low,low,low,low,low,low,0,0.32599837000814996
7656,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
7680,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.11822822328338548
7694,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
7703,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7720,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
7728,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
7752,med-high,high,low,low,low,low,low,low,low,med-high,med-low,low,1,0.9336426914153132
7760,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.17674691720493246
7768,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
7773,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
7784,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
7792,med-low,med-high,low,low,low,low,low,low,low,low,med-high,low,0,0.3495702005730659
7801,high,low,low,low,low,med-high,low,low,low,med-low,low,low,0,0.11822822328338548
7827,med-high,low,med-high,low,low,low,low,low,low,low,med-low,low,0,0.32599837000814996
7834,med-high,med-low,low,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
7852,high,med-low,low,low,low,med-low,low,low,low,med-low,low,low,0,0.014148463266574256
7862,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7888,high,low,high,low,low,low,low,low,low,low,low,low,1,0.11822822328338548
7895,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
7903,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
7912,high,low,high,low,low,low,low,low,low,low,low,low,0,0.7490176817288802
7921,high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7929,med-high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.11822822328338548
7938,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
7947,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
7956,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.17674691720493246
7964,high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
7973,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
7982,med-high,low,high,low,med-high,low,low,low,low,low,low,low,1,0.7490176817288802
7992,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
8008,med-high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.014148463266574256
8015,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.3495702005730659
8030,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.11822822328338548
8035,high,low,low,high,low,low,low,low,low,low,low,low,0,0.32599837000814996
8058,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.32599837000814996
8072,med-high,low,low,high,low,low,low,low,low,low,low,low,1,0.5587188612099644
8079,high,low,low,high,low,low,low,low,low,low,low,low,0,0.32599837000814996
8086,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.11822822328338548
8092,med-high,low,low,high,low,low,low,low,low,low,low,low,1,0.3495702005730659
8100,med-high,low,low,high,low,low,low,low,low,low,low,low,1,0.11822822328338548
8104,high,low,low,high,low,low,low,low,low,low,low,low,1,0.3495702005730659
8114,high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.014148463266574256
8129,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.11822822328338548
8138,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.3495702005730659
8145,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.11822822328338548
8152,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.17674691720493246
8158,high,low,low,high,low,low,low,low,low,low,low,low,0,0.014148463266574256
8166,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.014148463266574256
8179,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.014148463266574256
8186,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.014148463266574256
8194,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.3495702005730659
8203,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.014148463266574256
8211,high,low,low,high,low,low,low,low,low,low,low,low,0,0.7490176817288802
8220,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.014148463266574256
8238,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.11822822328338548
8246,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.014148463266574256
8261,high,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.014148463266574256
8270,high,med-low,low,med-high,low,low,low,low,low,med-low,low,low,0,0.3495702005730659
8278,med-high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.11822822328338548
8286,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.11822822328338548
8294,high,low,low,med-high,low,low,low,low,low,med-low,low,low,0,0.32599837000814996
8301,high,low,low,high,low,low,low,low,low,low,low,low,0,0.11822822328338548
8318,high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.3495702005730659
8326,high,low,low,high,low,low,low,low,low,low,low,low,0,0.014148463266574256
8335,high,low,low,high,low,low,low,low,low,low,low,low,0,0.014148463266574256
8341,med-high,low,low,high,low,low,low,low,low,med-low,low,low,0,0.11822822328338548
8351,high,low,low,high,low,low,low,low,low,low,low,low,0,0.11822822328338548
8359,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.11822822328338548
8369,med-high,low,low,high,low,low,low,low,low,low,low,low,0,0.3495702005730659
8378,med-low,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.5587188612099644
8385,high,med-low,low,low,low,med-low,low,low,low,med-high,med-low,low,1,0.3495702005730659
8394,med-high,med-high,low,low,low,med-low,low,low,low,med-low,med-high,high,1,0.7490176817288802
8402,med-low,med-high,low,low,low,low,low,low,low,med-high,med-low,low,1,0.9336426914153132
8423,med-high,med-high,low,low,low,low,low,low,low,med-low,med-low,low,1,0.5587188612099644
8430,med-high,med-low,low,low,low,med-low,low,low,low,med-high,low,low,0,0.5587188612099644
8436,med-low,med-low,low,low,low,low,low,low,low,med-low,med-low,low,1,0.9336426914153132
8451,med-high,med-low,med-low,low,low,low,low,low,low,med-high,med-low,low,1,0.9336426914153132
8459,high,low,med-high,low,low,med-low,low,low,low,med-low,low,low,0,0.7490176817288802
8467,low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
8489,high,med-low,low,low,low,med-low,low,low,low,med-low,low,low,1,0.11822822328338548
8499,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
8512,high,low,med-high,low,low,med-low,low,low,low,med-low,low,low,0,0.5587188612099644
8527,high,low,high,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
8537,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
8546,high,low,med-high,low,low,med-low,low,low,low,med-low,low,low,1,0.9336426914153132
8554,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
8566,low,low,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
8576,high,low,high,low,low,low,low,low,low,med-low,low,low,0,0.5587188612099644
8583,low,low,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
8599,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
8607,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
8615,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
8622,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
8630,high,low,high,low,low,low,low,low,low,low,low,low,0,0.9336426914153132
8641,high,low,high,low,low,low,low,low,low,low,low,low,0,0.7490176817288802
8650,med-high,low,high,low,med-low,low,low,med-low,low,low,low,low,0,0.5587188612099644
8658,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.7490176817288802
8664,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
8673,high,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
8683,low,low,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
8690,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
8700,high,low,high,low,low,low,low,low,low,low,low,low,0,0.17674691720493246
8708,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.32599837000814996
8717,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
8733,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
8740,med-low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
8746,high,low,high,low,low,low,low,low,low,low,low,low,0,0.32599837000814996
8753,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
8761,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
8770,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
8779,med-high,low,med-high,low,low,low,low,low,low,low,low,med-low,1,0.9336426914153132
8796,med-high,med-high,med-low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
8806,low,med-low,med-high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
8814,high,low,high,low,low,low,low,low,low,low,low,low,0,0.32599837000814996
8824,high,low,med-low,low,low,med-low,low,low,low,med-high,low,low,1,0.7490176817288802
8835,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
8845,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
8851,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
8859,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
8866,high,low,high,low,med-high,low,low,low,low,low,low,low,1,0.9336426914153132
8876,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
8893,med-high,low,med-high,low,low,low,low,low,low,low,low,low,1,0.3495702005730659
8901,high,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.32599837000814996
8910,med-low,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
8920,high,low,med-high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
8928,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
8957,med-high,med-low,med-low,low,med-low,low,low,low,low,med-low,low,low,1,0.5587188612099644
8971,high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.32599837000814996
8979,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,1,0.3495702005730659
8991,low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
8997,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
9013,med-high,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
9021,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
9029,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
9037,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.5587188612099644
9045,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9056,high,med-low,med-low,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9064,high,low,med-high,low,low,low,low,low,low,med-low,low,low,0,0.5587188612099644
9074,high,low,high,low,low,low,low,med-low,low,low,low,low,0,0.32599837000814996
9081,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
9091,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9102,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
9113,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
9120,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
9129,high,low,high,low,med-low,low,low,low,low,low,low,low,1,0.9336426914153132
9136,high,low,high,low,low,low,low,low,low,low,low,med-low,1,0.9336426914153132
9143,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
9152,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.32599837000814996
9160,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
9168,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9179,high,low,med-high,low,low,low,low,high,low,low,low,low,1,0.9336426914153132
9188,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
9207,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
9215,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
9221,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9237,med-high,low,high,low,low,low,low,low,low,low,low,med-low,1,0.32599837000814996
9245,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
9253,high,low,high,low,low,low,low,low,low,low,low,med-low,1,0.7490176817288802
9261,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
9266,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
9278,high,low,high,low,low,low,low,low,low,low,low,low,0,0.17674691720493246
9285,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
9298,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9306,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
9313,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
9321,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9336,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
9345,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
9353,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
9360,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9369,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
9377,high,low,high,low,low,low,low,low,low,low,low,low,0,0.7490176817288802
9382,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9389,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.11822822328338548
9404,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
9412,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9421,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9425,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9433,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9442,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9452,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
9458,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
9476,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
9482,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
9489,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9499,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9506,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
9525,high,low,high,low,low,low,low,low,low,low,low,low,1,0.11822822328338548
9533,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
9543,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9552,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
9560,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
9573,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
9582,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
9589,low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
9609,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
9618,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.11822822328338548
9631,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
9639,low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
9646,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
9657,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
9673,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
9683,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
9691,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
9700,low,low,high,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
9724,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
9738,med-high,low,high,low,low,low,low,med-low,low,low,low,low,1,0.11822822328338548
9748,med-high,low,med-high,med-low,low,low,low,low,low,low,low,low,0,0.11822822328338548
9758,med-high,low,med-high,med-low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9767,high,low,med-high,med-low,low,low,low,low,low,low,low,low,0,0.5587188612099644
9775,med-high,low,med-high,med-low,low,low,low,low,low,low,low,low,1,0.5587188612099644
9785,med-low,low,med-low,med-low,low,low,low,low,low,low,low,low,1,0.11822822328338548
9796,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.3495702005730659
9811,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9817,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.32599837000814996
9826,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
9834,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9842,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9849,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
9856,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
9865,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
9871,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
9878,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
9888,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
9896,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
9905,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
9915,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
9923,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.32599837000814996
9932,med-high,low,med-high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
9949,high,low,med-low,med-high,low,low,low,low,low,low,low,low,1,0.11822822328338548
9964,high,low,med-low,med-low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
9980,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
9989,med-low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
9998,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10006,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10022,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
10033,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10041,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10049,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10058,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
10067,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10081,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10088,low,low,high,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
10096,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10106,low,low,med-high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10117,low,low,high,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
10125,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10133,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10143,low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
10149,med-low,low,med-high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10166,low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
10170,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10179,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10197,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10210,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
10219,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10225,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10238,high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
10243,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
10254,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
10262,med-low,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
10275,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10281,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
10288,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
10296,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10306,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.32599837000814996
10315,med-high,low,high,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
10325,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10333,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10349,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10354,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10363,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
10368,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10375,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10389,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
10396,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10401,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
10407,high,low,high,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
10412,high,low,high,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
10427,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10432,low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10440,med-low,low,high,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10455,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.7490176817288802
10462,med-high,low,high,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
10477,med-high,med-low,med-low,med-low,low,low,low,low,low,low,low,low,0,0.014148463266574256
10484,med-low,low,low,high,low,low,low,low,low,low,low,low,0,0.014148463266574256
