,feature,feature_importances
1,total_units,0.21555023152701186
3,total_bldg_avg_3yr,0.18534264974855091
2,total_value,0.17370352221801005
0,total_bldg,0.10108244967776626
8,total_value_avg_5yr,0.05965781271420641
6,total_bldg_avg_5yr,0.04798795625882441
7,total_units_avg_5yr,0.047010454496532586
11,total_value_pct_change_1yr,0.044448970180727805
4,total_units_avg_3yr,0.03646654711752509
5,total_value_avg_3yr,0.03493192177735727
14,total_value_pct_change_3yr,0.026041291587743983
17,total_value_pct_change_5yr,0.021146697024051378
15,total_bldg_pct_change_5yr,0.0029245845371853514
16,total_units_pct_change_5yr,0.0028361625748997703
13,total_units_pct_change_3yr,0.0008687485596067518
19,div_enc,0.0
18,div_sa,0.0
10,total_units_pct_change_1yr,0.0
12,total_bldg_pct_change_3yr,0.0
9,total_bldg_pct_change_1yr,0.0
20,urban,0.0
