,feature,feature_importances
0,total_bldg,0.2302813828375208
3,total_bldg_avg_3yr,0.16979537676595474
1,total_units,0.15405287336454163
2,total_value,0.08518611951884951
8,total_value_avg_5yr,0.06631487897190651
4,total_units_avg_3yr,0.058941842995992234
7,total_units_avg_5yr,0.05084245540441809
5,total_value_avg_3yr,0.04763095658904721
6,total_bldg_avg_5yr,0.04729885472300317
17,total_value_pct_change_5yr,0.031696478820642825
11,total_value_pct_change_1yr,0.027068201247725233
14,total_value_pct_change_3yr,0.012211036889338991
13,total_units_pct_change_3yr,0.009125942087526236
15,total_bldg_pct_change_5yr,0.0062518402417189554
16,total_units_pct_change_5yr,0.0033017595418137935
19,div_enc,0.0
18,div_sa,0.0
10,total_units_pct_change_1yr,0.0
12,total_bldg_pct_change_3yr,0.0
9,total_bldg_pct_change_1yr,0.0
20,urban,0.0
