,feature,feature_importances
3,total_bldg_avg_3yr,0.1921912001546828
1,total_units,0.14066861459434976
0,total_bldg,0.12474679355524744
4,total_units_avg_3yr,0.10109546516257133
6,total_bldg_avg_5yr,0.08077120786782316
2,total_value,0.07040604305690994
7,total_units_avg_5yr,0.06720209738808863
8,total_value_avg_5yr,0.05859191802522721
14,total_value_pct_change_3yr,0.048369412345234085
5,total_value_avg_3yr,0.04035583168652911
11,total_value_pct_change_1yr,0.032579788763200696
17,total_value_pct_change_5yr,0.03190767387679789
15,total_bldg_pct_change_5yr,0.004954728957005161
16,total_units_pct_change_5yr,0.00336249838971074
13,total_units_pct_change_3yr,0.0027967261766219708
19,div_enc,0.0
18,div_sa,0.0
10,total_units_pct_change_1yr,0.0
12,total_bldg_pct_change_3yr,0.0
9,total_bldg_pct_change_1yr,0.0
20,urban,0.0
