,feature,feature_importances
0,total_bldg,0.24578954340842496
3,total_bldg_avg_3yr,0.14112548995039195
2,total_value,0.13731189818530282
1,total_units,0.07911381440086009
6,total_bldg_avg_5yr,0.0654554480942928
7,total_units_avg_5yr,0.06314688895740854
8,total_value_avg_5yr,0.05275320749529086
4,total_units_avg_3yr,0.0480789356859251
17,total_value_pct_change_5yr,0.04682338218505563
11,total_value_pct_change_1yr,0.04138353658794543
5,total_value_avg_3yr,0.03615273607562497
14,total_value_pct_change_3yr,0.03092363075173535
15,total_bldg_pct_change_5yr,0.004853497455111184
16,total_units_pct_change_5yr,0.004171649093092381
13,total_units_pct_change_3yr,0.002916341673537928
19,div_enc,0.0
18,div_sa,0.0
10,total_units_pct_change_1yr,0.0
12,total_bldg_pct_change_3yr,0.0
9,total_bldg_pct_change_1yr,0.0
20,urban,0.0
