,feature,feature_importances
8,total_value_avg_5yr,0.1111070076323791
11,total_value_pct_change_1yr,0.09937308528894069
5,total_value_avg_3yr,0.09252948962908747
14,total_value_pct_change_3yr,0.09147370946333198
1,total_units,0.0898492826090569
4,total_units_avg_3yr,0.0897668843295498
3,total_bldg_avg_3yr,0.08561023233095132
17,total_value_pct_change_5yr,0.08104666654220682
2,total_value,0.0674030545283238
0,total_bldg,0.05617608431680745
7,total_units_avg_5yr,0.0510051709320682
6,total_bldg_avg_5yr,0.042236547012098315
15,total_bldg_pct_change_5yr,0.022913813902789733
16,total_units_pct_change_5yr,0.009949343866952199
13,total_units_pct_change_3yr,0.009559627615456218
19,div_enc,0.0
18,div_sa,0.0
10,total_units_pct_change_1yr,0.0
12,total_bldg_pct_change_3yr,0.0
9,total_bldg_pct_change_1yr,0.0
20,urban,0.0
