,feature,feature_importances
2,total_value,0.09347772813119923
1,total_units,0.09017005727995954
14,total_value_pct_change_3yr,0.08707989714205892
8,total_value_avg_5yr,0.0856483323038275
3,total_bldg_avg_3yr,0.08338512745037685
17,total_value_pct_change_5yr,0.0809904164825943
0,total_bldg,0.07781708811278511
11,total_value_pct_change_1yr,0.07772138337771356
7,total_units_avg_5yr,0.06949148890400442
5,total_value_avg_3yr,0.0675653219352179
4,total_units_avg_3yr,0.06509339426446294
6,total_bldg_avg_5yr,0.06004631089954396
16,total_units_pct_change_5yr,0.03572659272972881
13,total_units_pct_change_3yr,0.01994650507151814
15,total_bldg_pct_change_5yr,0.005840355915008828
19,div_enc,0.0
18,div_sa,0.0
10,total_units_pct_change_1yr,0.0
12,total_bldg_pct_change_3yr,0.0
9,total_bldg_pct_change_1yr,0.0
20,urban,0.0
