,feature,feature_importances
7,total_units_avg_5yr,0.10400654000460317
14,total_value_pct_change_3yr,0.09603341715625464
8,total_value_avg_5yr,0.08616993145151577
11,total_value_pct_change_1yr,0.08300857751406575
1,total_units,0.08241619314753468
2,total_value,0.08212298938124425
5,total_value_avg_3yr,0.07680134075324607
4,total_units_avg_3yr,0.07512296901578443
3,total_bldg_avg_3yr,0.0749516396126959
17,total_value_pct_change_5yr,0.07297764426390607
6,total_bldg_avg_5yr,0.07044673839001331
0,total_bldg,0.06516018897595016
15,total_bldg_pct_change_5yr,0.012056999244327798
13,total_units_pct_change_3yr,0.009871890359601919
16,total_units_pct_change_5yr,0.008852940729256074
18,div_sa,0.0
19,div_enc,0.0
10,total_units_pct_change_1yr,0.0
12,total_bldg_pct_change_3yr,0.0
9,total_bldg_pct_change_1yr,0.0
20,urban,0.0
