,feature,feature_importances
17,total_value_pct_change_5yr,0.08900110055171866
11,total_value_pct_change_1yr,0.08421382831597796
14,total_value_pct_change_3yr,0.08084649074575109
8,total_value_avg_5yr,0.07579997346238804
2,total_value,0.07471521593760055
7,total_units_avg_5yr,0.07453384635347976
5,total_value_avg_3yr,0.07404421348417407
4,total_units_avg_3yr,0.07346304622933453
3,total_bldg_avg_3yr,0.07331964812839037
6,total_bldg_avg_5yr,0.07329752528565152
0,total_bldg,0.07065692045030558
1,total_units,0.06776795766318826
16,total_units_pct_change_5yr,0.01717145050535962
13,total_units_pct_change_3yr,0.01355928545858612
15,total_bldg_pct_change_5yr,0.009553008094275934
19,div_enc,0.009339132902825372
20,urban,0.008944088372651853
10,total_units_pct_change_1yr,0.008547981313959108
12,total_bldg_pct_change_3yr,0.007944512917980422
18,div_sa,0.007371590200598176
9,total_bldg_pct_change_1yr,0.005909183625803089
