,feature,feature_importances
11,total_value_pct_change_1yr,0.08683210916674135
14,total_value_pct_change_3yr,0.08337052985753349
17,total_value_pct_change_5yr,0.08201952712658338
8,total_value_avg_5yr,0.08106757321950835
6,total_bldg_avg_5yr,0.07838048312167689
7,total_units_avg_5yr,0.07806241539504294
2,total_value,0.07757407554246665
4,total_units_avg_3yr,0.07612961287728556
3,total_bldg_avg_3yr,0.07548177984299499
5,total_value_avg_3yr,0.07540659346667528
0,total_bldg,0.07277108455542179
1,total_units,0.07104793727202827
13,total_units_pct_change_3yr,0.00939651996404226
16,total_units_pct_change_5yr,0.009347963993420232
20,urban,0.008758246132047844
19,div_enc,0.0074662790433166586
18,div_sa,0.007021410722385169
10,total_units_pct_change_1yr,0.006147610967003843
12,total_bldg_pct_change_3yr,0.005572665266742053
15,total_bldg_pct_change_5yr,0.004742442868392905
9,total_bldg_pct_change_1yr,0.003403139598690051
