,feature,feature_importances
11,total_value_pct_change_1yr,0.08885657168016899
17,total_value_pct_change_5yr,0.08245458913415553
14,total_value_pct_change_3yr,0.08238086414528714
8,total_value_avg_5yr,0.08006672633892155
5,total_value_avg_3yr,0.07903350221263304
7,total_units_avg_5yr,0.07838216461441974
2,total_value,0.07706045691049979
4,total_units_avg_3yr,0.07654220257945775
6,total_bldg_avg_5yr,0.07592865172174196
3,total_bldg_avg_3yr,0.07437110455485381
0,total_bldg,0.0720020485073517
1,total_units,0.07078189413103834
20,urban,0.009246144184081751
16,total_units_pct_change_5yr,0.009105422978018281
18,div_sa,0.00809072290407034
13,total_units_pct_change_3yr,0.008069330321911365
19,div_enc,0.00785012405288746
15,total_bldg_pct_change_5yr,0.0054821784165965184
12,total_bldg_pct_change_3yr,0.005421357048186174
10,total_units_pct_change_1yr,0.005417979802486427
9,total_bldg_pct_change_1yr,0.003455963761232297
