,feature,feature_importances
7,total_units_avg_5yr,0.08978958781657019
8,total_value_avg_5yr,0.08694785339428884
5,total_value_avg_3yr,0.08050259041544243
4,total_units_avg_3yr,0.07695844864363047
1,total_units,0.07578637912537729
2,total_value,0.07433057752423783
6,total_bldg_avg_5yr,0.07430554459638036
0,total_bldg,0.07429524676240067
3,total_bldg_avg_3yr,0.07414347427172802
11,total_value_pct_change_1yr,0.07008644041770143
17,total_value_pct_change_5yr,0.06815580353881667
14,total_value_pct_change_3yr,0.0673797870390566
20,urban,0.0392924383785313
18,div_sa,0.011400293202822149
19,div_enc,0.010558314187684064
16,total_units_pct_change_5yr,0.0066035372453998155
13,total_units_pct_change_3yr,0.00614640297644101
12,total_bldg_pct_change_3yr,0.004290675352059386
15,total_bldg_pct_change_5yr,0.0036364569635128252
10,total_units_pct_change_1yr,0.0035503519332432108
9,total_bldg_pct_change_1yr,0.0018397962146753854
