,feature,feature_importances
7,total_units_avg_5yr,0.08984662005617533
20,urban,0.08760640859461052
8,total_value_avg_5yr,0.08563860412487286
6,total_bldg_avg_5yr,0.07902701544537669
4,total_units_avg_3yr,0.07897757869457052
2,total_value,0.07893695015094293
5,total_value_avg_3yr,0.07215279058716444
1,total_units,0.06945574676988071
0,total_bldg,0.06575559967732539
3,total_bldg_avg_3yr,0.06421012740255631
11,total_value_pct_change_1yr,0.05811814615267392
17,total_value_pct_change_5yr,0.05440606657090989
14,total_value_pct_change_3yr,0.05419024979397315
18,div_sa,0.01746992558109368
19,div_enc,0.01658953862907869
13,total_units_pct_change_3yr,0.006042192269195855
16,total_units_pct_change_5yr,0.005708892506972777
15,total_bldg_pct_change_5yr,0.004782434211574677
12,total_bldg_pct_change_3yr,0.004400809631352695
10,total_units_pct_change_1yr,0.004224711503661164
9,total_bldg_pct_change_1yr,0.0024595916460378032
