,feature,feature_importances
14,total_value_pct_change_3yr,0.08662007748874068
17,total_value_pct_change_5yr,0.08544256427491159
11,total_value_pct_change_1yr,0.08488560697614515
8,total_value_avg_5yr,0.08019914483393889
2,total_value,0.07769470491960095
7,total_units_avg_5yr,0.07687689995528028
6,total_bldg_avg_5yr,0.07654767345218062
3,total_bldg_avg_3yr,0.07620360212899198
5,total_value_avg_3yr,0.07488902473232713
4,total_units_avg_3yr,0.07410495642070662
0,total_bldg,0.07389826625529614
1,total_units,0.0724016752868072
16,total_units_pct_change_5yr,0.008866751583572821
20,urban,0.00881299037321405
19,div_enc,0.007798728977659489
13,total_units_pct_change_3yr,0.0077524414816640954
18,div_sa,0.007740050955190077
10,total_units_pct_change_1yr,0.005410613458044472
15,total_bldg_pct_change_5yr,0.005314451207556711
12,total_bldg_pct_change_3yr,0.004928333495210491
9,total_bldg_pct_change_1yr,0.003611441742960672
