,feature,feature_importances
20,urban,0.09769992456907024
7,total_units_avg_5yr,0.09107818146678374
8,total_value_avg_5yr,0.0891981858351283
4,total_units_avg_3yr,0.07765719582765164
2,total_value,0.07439096847967146
5,total_value_avg_3yr,0.07397348215560082
3,total_bldg_avg_3yr,0.06774430248414343
1,total_units,0.06707803469955138
6,total_bldg_avg_5yr,0.06386425452989895
0,total_bldg,0.06317710942279468
11,total_value_pct_change_1yr,0.05921352461531652
14,total_value_pct_change_3yr,0.0572837165121443
17,total_value_pct_change_5yr,0.05584498070458181
19,div_enc,0.017889139573342573
18,div_sa,0.01684421914543294
16,total_units_pct_change_5yr,0.005766932463733612
13,total_units_pct_change_3yr,0.005544239570047253
12,total_bldg_pct_change_3yr,0.0046391971817178294
15,total_bldg_pct_change_5yr,0.004403524909050366
10,total_units_pct_change_1yr,0.0041308961108076385
9,total_bldg_pct_change_1yr,0.00257798974353046
