,feature,feature_importances
11,total_value_pct_change_1yr,0.08571699689686094
17,total_value_pct_change_5yr,0.08135623950702488
14,total_value_pct_change_3yr,0.07972264989170633
8,total_value_avg_5yr,0.07671524955698972
2,total_value,0.0763164362538651
6,total_bldg_avg_5yr,0.07590454737930424
3,total_bldg_avg_3yr,0.07364026026109238
5,total_value_avg_3yr,0.07253323524578005
1,total_units,0.07224148730110076
4,total_units_avg_3yr,0.07193485183797073
0,total_bldg,0.0718623346075612
7,total_units_avg_5yr,0.07081788463370571
16,total_units_pct_change_5yr,0.01916292954238936
13,total_units_pct_change_3yr,0.015332241049979435
15,total_bldg_pct_change_5yr,0.010573720712444864
19,div_enc,0.008990774760868616
18,div_sa,0.008707419134366186
20,urban,0.00845934385057978
10,total_units_pct_change_1yr,0.008023720366288581
12,total_bldg_pct_change_3yr,0.0069871384299977106
9,total_bldg_pct_change_1yr,0.005000538780123469
