,feature,feature_importances
11,total_value_pct_change_1yr,0.085631640884089
17,total_value_pct_change_5yr,0.08184378359459928
14,total_value_pct_change_3yr,0.08183933346602351
6,total_bldg_avg_5yr,0.07943125318790611
7,total_units_avg_5yr,0.07886948982606808
8,total_value_avg_5yr,0.07838726195242972
2,total_value,0.07782178244287946
5,total_value_avg_3yr,0.07704111073980158
4,total_units_avg_3yr,0.07621846540192168
3,total_bldg_avg_3yr,0.07592230509565684
0,total_bldg,0.07335489324414463
1,total_units,0.07152133184437429
20,urban,0.009778920532305873
16,total_units_pct_change_5yr,0.00870635499128863
18,div_sa,0.008346260121214833
19,div_enc,0.008026091772122828
13,total_units_pct_change_3yr,0.007848963200086661
10,total_units_pct_change_1yr,0.005968423177956675
15,total_bldg_pct_change_5yr,0.005142389636938639
12,total_bldg_pct_change_3yr,0.0048718674316533565
9,total_bldg_pct_change_1yr,0.003428077456538255
