,feature,feature_importances
17,total_value_pct_change_5yr,0.08362244907791423
11,total_value_pct_change_1yr,0.0823815514256451
14,total_value_pct_change_3yr,0.07819007898568618
8,total_value_avg_5yr,0.07803894916272498
5,total_value_avg_3yr,0.0744928205649888
2,total_value,0.0744526870413856
7,total_units_avg_5yr,0.0736423211219843
6,total_bldg_avg_5yr,0.07284670640935141
0,total_bldg,0.0727936495617669
1,total_units,0.07228577565785697
4,total_units_avg_3yr,0.07000124751261465
3,total_bldg_avg_3yr,0.06997978567991406
16,total_units_pct_change_5yr,0.02146472410075615
13,total_units_pct_change_3yr,0.014692201736050427
15,total_bldg_pct_change_5yr,0.010560954898079377
19,div_enc,0.009472921562532453
18,div_sa,0.009095603557341944
10,total_units_pct_change_1yr,0.008800924677881763
12,total_bldg_pct_change_3yr,0.008648950876520943
20,urban,0.00772115275116101
9,total_bldg_pct_change_1yr,0.00681454363784271
