,feature,feature_importances
7,total_units_avg_5yr,0.0894170541026678
2,total_value,0.08582504997749714
17,total_value_pct_change_5yr,0.08555803152787067
1,total_units,0.08553057796081219
4,total_units_avg_3yr,0.07989308917357497
8,total_value_avg_5yr,0.07522802839223088
11,total_value_pct_change_1yr,0.07499752789601605
6,total_bldg_avg_5yr,0.07042115470854257
14,total_value_pct_change_3yr,0.0684271333010751
3,total_bldg_avg_3yr,0.06620075029892718
0,total_bldg,0.06509340108450445
5,total_value_avg_3yr,0.06350582561030499
16,total_units_pct_change_5yr,0.018868875749653805
18,div_sa,0.01509715165331104
13,total_units_pct_change_3yr,0.014008132321299174
19,div_enc,0.012312866763370608
20,urban,0.008397114187658684
15,total_bldg_pct_change_5yr,0.007449712996188507
12,total_bldg_pct_change_3yr,0.006089030713241708
10,total_units_pct_change_1yr,0.00570233535864418
9,total_bldg_pct_change_1yr,0.0019771562226083596
