year,state,county,region,division,total_bldg,total_units,total_value
2000,13,149,3,5,56,56,6041170
2000,13,151,3,5,3450,4130,348868495
2000,13,153,3,5,1173,1505,101021248
2000,13,155,3,5,0,0,0
2000,13,157,3,5,800,864,109810639
2000,13,159,3,5,153,153,13673500
2000,13,161,3,5,1,1,52000
2000,13,163,3,5,28,28,2771415
2000,13,165,3,5,0,0,0
2000,13,167,3,5,0,0,0
2000,13,169,3,5,230,240,26523290
2000,13,171,3,5,75,90,5765214
2000,13,173,3,5,25,39,1611000
2000,13,175,3,5,45,45,3010628
2000,13,177,3,5,281,285,32244507
2000,13,179,3,5,182,221,17667493
2000,13,181,3,5,43,43,5133254
2000,13,185,3,5,517,886,46073254
2000,13,187,3,5,350,354,46917425
2000,13,189,3,5,55,55,5602600
2000,13,191,3,5,91,91,12401450
2000,13,193,3,5,14,14,777145
2000,13,195,3,5,154,154,17531022
2000,13,199,3,5,158,158,16062939
2000,13,201,3,5,3,3,100000
2000,13,205,3,5,88,99,8071154
2000,13,207,3,5,146,146,18648715
2000,13,209,3,5,36,37,4485000
2000,13,211,3,5,173,189,21335831
2000,13,213,3,5,204,223,21257730
2000,13,215,3,5,606,975,72219857
2000,13,217,3,5,1523,1918,179239850
2000,13,219,3,5,241,241,48587826
2000,13,223,3,5,2203,2845,180509706
2000,13,225,3,5,119,131,11924615
2000,13,227,3,5,409,410,55686000
2000,13,229,3,5,66,66,6267863
2000,13,231,3,5,212,212,21236784
2000,13,233,3,5,257,266,19518640
2000,13,235,3,5,73,73,4433000
2000,13,237,3,5,185,186,27282443
2000,13,239,3,5,1,1,200000
2000,13,241,3,5,289,299,19344393
2000,13,243,3,5,0,0,0
2000,13,245,3,5,488,525,56864931
2000,13,247,3,5,464,766,62165762
2000,13,249,3,5,4,4,350000
2000,13,251,3,5,6,6,359500
2000,13,253,3,5,0,0,0
2000,13,255,3,5,423,430,35299754
2000,13,257,3,5,89,91,10181678
2000,13,259,3,5,0,0,0
2000,13,261,3,5,53,72,3403123
2000,13,263,3,5,35,35,3815210
2000,13,267,3,5,4,4,342750
2000,13,269,3,5,14,14,781334
2000,13,271,3,5,1,1,300000
2000,13,273,3,5,46,48,1944496
2000,13,275,3,5,192,192,17786572
2000,13,277,3,5,116,116,9722786
2000,13,279,3,5,23,24,1963400
2000,13,281,3,5,181,181,19465383
2000,13,283,3,5,0,0,0
2000,13,285,3,5,342,590,43684905
2000,13,287,3,5,2,4,130000
2000,13,289,3,5,22,22,2234300
2000,13,291,3,5,400,401,42409078
2000,13,293,3,5,135,138,12009561
2000,13,295,3,5,309,334,27133135
2000,13,297,3,5,1216,1241,125697438
2000,13,299,3,5,67,67,6557047
2000,13,301,3,5,0,0,0
2000,13,303,3,5,13,13,1070776
2000,13,305,3,5,11,13,1246310
2000,13,309,3,5,0,0,0
2000,13,311,3,5,313,315,33295917
2000,13,313,3,5,433,876,41432975
2000,13,315,3,5,0,0,0
2000,13,317,3,5,13,13,1122800
2000,13,321,3,5,44,44,4356494
2000,17,1,2,3,76,100,12432975
2000,17,3,2,3,2,2,60000
2000,17,5,2,3,59,106,8311700
2000,17,7,2,3,362,365,48781720
2000,17,9,2,3,3,17,1179900
2000,17,11,2,3,64,99,9279209
2000,17,13,2,3,11,13,1250876
2000,17,15,2,3,68,70,10781645
2000,17,17,2,3,11,11,767000
2000,17,19,2,3,625,1049,105872616
2000,17,21,2,3,90,99,8484523
2000,17,23,2,3,13,14,1157720
2000,17,25,2,3,11,11,1115600
2000,17,27,2,3,89,98,12770509
2000,17,29,2,3,54,101,5542366
2000,17,31,2,3,6053,11877,1400300620
2000,17,33,2,3,5,5,545000
2000,17,35,2,3,10,11,1109000
2000,17,37,2,3,381,576,60237039
2000,17,39,2,3,53,53,6844604
2000,17,41,2,3,32,32,4109506
2000,17,43,2,3,3331,3931,694044502
2000,17,45,2,3,23,68,3938795
2000,17,49,2,3,50,57,6851099
2000,17,51,2,3,11,11,994000
2000,17,53,2,3,33,37,3430900
2000,17,55,2,3,28,29,2479950
2000,17,57,2,3,73,73,6684390
2000,17,59,2,3,0,0,0
2000,17,61,2,3,6,6,536000
2000,17,63,2,3,192,227,30854764
2000,17,67,2,3,21,22,1546308
2000,17,69,2,3,0,0,0
2000,17,71,2,3,18,18,850000
2000,17,73,2,3,100,107,13567061
2000,17,75,2,3,66,69,6363972
2000,17,77,2,3,51,112,5914550
2000,17,79,2,3,2,2,140000
2000,17,81,2,3,30,87,6361000
2000,17,83,2,3,103,103,11964999
2000,17,85,2,3,134,134,21411976
2000,17,89,2,3,4516,5784,847885134
2000,17,91,2,3,335,389,50466180
2000,17,93,2,3,807,863,113690500
2000,17,95,2,3,110,110,11599162
2000,17,97,2,3,3262,4134,638451620
2000,17,99,2,3,367,494,45185606
2000,17,101,2,3,3,3,400000
2000,17,103,2,3,97,118,12092596
