,attribute_name,attribute_value,k,model_id,score_threshold,tpr,tnr,for,fdr,fpr,fnr,npv,precision,pp,pn,ppr,pprev,fp,fn,tn,tp,group_label_neg,group_label_pos,group_size,total_entities,prev,ppr_disparity,pprev_disparity,precision_disparity,fdr_disparity,for_disparity,fpr_disparity,fnr_disparity,tpr_disparity,tnr_disparity,npv_disparity,ppr_ref_group_value,pprev_ref_group_value,precision_ref_group_value,fdr_ref_group_value,for_ref_group_value,fpr_ref_group_value,fnr_ref_group_value,tpr_ref_group_value,tnr_ref_group_value,npv_ref_group_value,Statistical Parity,Impact Parity,FDR Parity,FPR Parity,FOR Parity,FNR Parity,TPR Parity,TNR Parity,NPV Parity,Precision Parity,TypeI Parity,TypeII Parity,Equalized Odds,Unsupervised Fairness,Supervised Fairness
19,pct_am_ind_bins,med-low,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,5,0.0,0.0,0,0,0,0,0,0,5,6654,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
20,pct_asian_bins,high,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,3,0.0,0.0,0,0,0,0,0,0,3,6654,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
21,pct_asian_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,985,5529,0.985,0.1512127724900215,0,0,0,0,0,0,6514,6654,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
22,pct_asian_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,2,16,0.002,0.1111111111111111,0,0,0,0,0,0,18,6654,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
23,pct_asian_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,13,106,0.013,0.1092436974789916,0,0,0,0,0,0,119,6654,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
24,pct_nh_pi_bins,high,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,2,0.0,0.0,0,0,0,0,0,0,2,6654,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
25,pct_nh_pi_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,1000,5633,1.0,0.15076134479119555,0,0,0,0,0,0,6633,6654,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
26,pct_nh_pi_bins,med-high,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,4,0.0,0.0,0,0,0,0,0,0,4,6654,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
27,pct_nh_pi_bins,med-low,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,15,0.0,0.0,0,0,0,0,0,0,15,6654,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
28,pct_multiple_bins,high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,1,5,0.001,0.16666666666666666,0,0,0,0,0,0,6,6654,0.0,1.0,1.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,True,True,,,,,,,,,,,,True,
29,pct_multiple_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,968,5485,0.968,0.15000774833410815,0,0,0,0,0,0,6453,6654,0.0,968.0,0.900046490004649,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,True,,,,,,,,,,,,False,
30,pct_multiple_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,1,15,0.001,0.0625,0,0,0,0,0,0,16,6654,0.0,1.0,0.375,,,,,,,,,high,high,high,high,high,high,high,high,high,high,True,False,,,,,,,,,,,,False,
31,pct_multiple_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,30,149,0.03,0.16759776536312848,0,0,0,0,0,0,179,6654,0.0,30.0,1.005586592178771,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,True,,,,,,,,,,,,False,
32,pct_other_bins,high,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,1,0.0,0.0,0,0,0,0,0,0,1,6654,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
33,pct_other_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,991,5618,0.991,0.1499470419125435,0,0,0,0,0,0,6609,6654,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
34,pct_other_bins,med-high,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,4,0.0,0.0,0,0,0,0,0,0,4,6654,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
35,pct_other_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,9,31,0.009,0.225,0,0,0,0,0,0,40,6654,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
36,renter_occupied_households_bins,high,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,3,0.0,0.0,0,0,0,0,0,0,3,6654,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
37,renter_occupied_households_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,978,5489,0.978,0.15122931807638781,0,0,0,0,0,0,6467,6654,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
38,renter_occupied_households_bins,med-high,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,13,0.0,0.0,0,0,0,0,0,0,13,6654,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
39,renter_occupied_households_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,22,149,0.022,0.1286549707602339,0,0,0,0,0,0,171,6654,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
40,median_household_income_bins,high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,1,23,0.001,0.041666666666666664,0,0,0,0,0,0,24,6654,0.0,0.0012360939431396785,0.26009476720230734,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,False,,,,,,,,,,,,False,
41,median_household_income_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,809,4241,0.809,0.1601980198019802,0,0,0,0,0,0,5050,6654,0.0,1.0,1.0,,,,,,,,,low,low,low,low,low,low,low,low,low,low,True,True,,,,,,,,,,,,True,
42,median_household_income_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,5,141,0.005,0.03424657534246575,0,0,0,0,0,0,146,6654,0.0,0.006180469715698393,0.21377652098819783,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,False,,,,,,,,,,,,False,
43,median_household_income_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,185,1249,0.185,0.1290097629009763,0,0,0,0,0,0,1434,6654,0.0,0.22867737948084052,0.8053143419653032,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,True,,,,,,,,,,,,False,
44,median_property_value_bins,high,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,7,0.0,0.0,0,0,0,0,0,0,7,6654,0.0,0.0,0.0,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,False,,,,,,,,,,,,False,
45,median_property_value_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,993,5508,0.993,0.15274573142593448,0,0,0,0,0,0,6501,6654,0.0,1.0,1.0,,,,,,,,,low,low,low,low,low,low,low,low,low,low,True,True,,,,,,,,,,,,True,
46,median_property_value_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,1,9,0.001,0.1,0,0,0,0,0,0,10,6654,0.0,0.0010070493454179255,0.6546827794561934,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,False,,,,,,,,,,,,False,
47,median_property_value_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,6,130,0.006,0.04411764705882353,0,0,0,0,0,0,136,6654,0.0,0.006042296072507553,0.28883063799537945,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,False,,,,,,,,,,,,False,
48,urban,0,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,342,1977,0.342,0.14747736093143596,0,0,0,0,0,0,2319,6654,0.0,0.5197568389057751,0.9716023702701745,,,,,,,,,1,1,1,1,1,1,1,1,1,1,False,True,,,,,,,,,,,,False,
49,urban,1,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,658,3677,0.658,0.15178777393310267,0,0,0,0,0,0,4335,6654,0.0,1.0,1.0,,,,,,,,,1,1,1,1,1,1,1,1,1,1,True,True,,,,,,,,,,,,True,
